,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.23747680890538048,-0.45083487940630773,-0.16141001855287573,-0.432282003710575,-0.3265306122448979,-0.23562152133580705,-0.26345083487940624,-0.23747680890538025,-0.16697588126159557,0.7810760667903526,0.11688311688311687,-0.4805194805194808,-0.36734693877551017,0.7421150278293135,0.08348794063079779,-1.209647495361781,-0.3005565862708721,-0.09090909090909105
CEc,-0.2531185031185035,-0.378898128898129,-0.07172557172557181,-0.5306652806652807,-0.34043659043659047,-0.2364864864864864,-0.27546777546777523,-0.21101871101871106,-0.2011434511434511,0.7104989604989604,0.10758835758835758,-0.49532224532224545,-0.22920997920997932,0.7401247401247402,0.14501039501039492,-1.25,-0.3227650727650726,-0.1647609147609148
CEe,-0.2472283813747227,-0.30432372505543226,-0.1480044345898004,-0.35532150776053206,-0.25886917960088685,-0.07372505543237251,-0.15188470066518844,0.06208425720620847,-0.08481152993348107,0.7405764966740576,0.13470066518847007,-0.6807095343680709,-0.17461197339246115,0.6840354767184035,-0.1297117516629711,-0.7788248337028822,-0.15964523281596454,-0.030487804878048808
CL,-0.19871794871794846,-0.40865384615384626,-0.09134615384615374,-0.4439102564102564,-0.3669871794871795,-0.1907051282051282,-0.21474358974358987,-0.17948717948717952,-0.14423076923076916,0.7387820512820512,0.12019230769230771,-0.6330128205128207,-0.2019230769230771,0.7772435897435899,-0.10576923076923062,-0.950320512820513,-0.29326923076923084,-0.09935897435897445
MCr,-0.2907608695652173,-0.4255434782608698,-0.15326086956521734,-0.3999999999999999,-0.3820652173913046,-0.16739130434782634,-0.32065217391304346,-0.09510869565217395,-0.16630434782608683,0.7902173913043479,0.12717391304347828,-0.6385869565217392,-0.3081521739130433,0.7478260869565218,0.15652173913043477,-1.1733695652173914,-0.2445652173913042,-0.08260869565217388
MCt,-0.28641975308641987,-0.4518518518518517,-0.18518518518518512,-0.44691358024691374,-0.3901234567901235,-0.1555555555555559,-0.2716049382716048,-0.20740740740740737,-0.1777777777777776,0.8172839506172839,0.1308641975308642,-0.6592592592592594,-0.20740740740740726,0.7851851851851852,-0.0024691358024691024,-1.0469135802469134,-0.20246913580246906,-0.09135802469135812
MCu,-0.29517910045785056,-0.3999461352006466,-0.12200377053595468,-0.4559655265284137,-0.30649070832211134,-0.21303528144357653,-0.2671694047939672,-0.08672232695933202,-0.22300026932399675,0.7301373552383517,0.12361971451656342,-0.5507675733907895,-0.4411527067061676,0.5758147050902236,-0.12846754645838931,-0.9587934284944788,-0.28602208456773504,-0.20980339348235932
MS,-0.2708719851576995,-0.35064935064935066,-0.1280148423005565,-0.33209647495361794,-0.39332096474953593,-0.1020408163265305,-0.16326530612244916,-0.10389610389610393,-0.033395176252319025,0.8144712430426717,0.08348794063079777,-0.6474953617810759,-0.23376623376623362,0.7755102040816326,-0.05009276437847876,-1.0426716141001855,-0.033395176252319025,-0.12430426716140985
QLl,-0.2821507760532147,-0.30432372505543226,-0.18292682926829262,-0.35532150776053206,-0.2937915742793791,-0.07372505543237251,-0.1868070953436809,-0.11252771618625268,-0.04988913525498884,0.8453436807095343,0.13470066518847007,-0.9600886917960088,-0.17461197339246115,0.9284922394678492,-0.1297117516629711,-1.023281596452328,-0.12472283813747209,-0.030487804878048808
QLq,-0.30426716141001897,-0.41743970315398915,-0.16141001855287573,-0.36549165120593696,-0.3599257884972171,-0.168831168831169,-0.26345083487940624,-0.1706864564007421,-0.16697588126159557,0.8478664192949908,0.11688311688311687,-0.4805194805194808,-0.6011131725417438,0.7421150278293135,0.18367346938775508,-1.2430426716141003,-0.3005565862708721,-0.1576994434137291
SNs,-0.34855701877276557,-0.436256654525077,-0.1807228915662651,-0.5797142056598488,-0.40739702998038685,-0.23732137853740554,-0.31213224992995237,-0.08629868310451116,-0.27234519473241803,0.6273465956850658,0.13869431213224995,-0.6676940319417204,-0.2118240403474363,0.5811151583076493,-0.08321658727934977,-0.9644158027458671,-0.29251891286074505,-0.10955449705799958
KNa,-0.32098765432098775,-0.3135802469135802,-0.18518518518518512,-0.34320987654320967,-0.18271604938271602,-0.051851851851851816,-0.20246913580246906,-0.10370370370370363,-0.004938271604938427,0.9555555555555556,0.1308641975308642,-0.5209876543209875,-0.20740740740740726,0.8543209876543211,0.032098765432098775,-0.9777777777777779,-0.1333333333333333,-0.09135802469135812
KNc,-0.32098765432098775,-0.41728395061728385,-0.15061728395061746,-0.44691358024691374,-0.3209876543209875,-0.2246913580246912,-0.2716049382716048,-0.1728395061728395,-0.2123456790123457,0.7827160493827161,0.1308641975308642,-0.3481481481481481,-0.3111111111111111,0.6469135802469137,0.17037037037037028,-0.9777777777777779,-0.23703703703703694,-0.19506172839506175
KNf,-0.31860706860706856,-0.4116424116424118,-0.1699584199584201,-0.4651767151767152,-0.34043659043659047,-0.2364864864864864,-0.24272349272349247,-0.14553014553014554,-0.2011434511434511,0.775987525987526,0.10758835758835758,-0.49532224532224545,-0.5566528066528067,0.6091476091476092,0.14501039501039492,-0.9553014553014554,-0.22453222453222477,-0.19750519750519757
KNn,-0.3291139240506329,-0.36601131160786426,-0.1898734177215189,-0.3880958793428493,-0.23862106113654735,-0.17910045785079465,-0.19929975760840302,-0.18852679773767844,-0.053326151360086005,0.8998114732022623,0.12361971451656342,-0.584702396983571,-0.4411527067061676,0.7794236466469162,0.041206571505521206,-0.9248586049016967,-0.2520872609749527,-0.17586856988957722
KNs,-0.32098765432098775,-0.382716049382716,-0.15061728395061746,-0.4814814814814814,-0.28641975308641965,-0.2246913580246912,-0.2716049382716048,-0.03456790123456788,-0.2123456790123457,0.7827160493827161,0.1308641975308642,-0.4172839506172843,-0.10370370370370385,0.6123456790123456,-0.07160493827160486,-0.8395061728395061,-0.2716049382716048,-0.19506172839506175
AT,-0.09444444444444455,-0.2666666666666666,-0.16666666666666674,-0.2777777777777777,-0.17222222222222228,-0.03888888888888875,-0.16666666666666652,0.03888888888888886,-0.06666666666666665,0.6888888888888889,0.17222222222222222,-0.7722222222222221,-0.15555555555555545,0.6055555555555556,-0.34444444444444433,-0.6777777777777776,-0.12777777777777777,-0.02777777777777768
VO,-0.31707317073170715,-0.30432372505543226,-0.1480044345898004,-0.2505543237250556,-0.2937915742793791,-0.07372505543237251,-0.2217294900221729,0.0970066518847007,-0.08481152993348107,0.7405764966740576,0.13470066518847007,-0.575942350332594,-0.27937915742793806,0.5792682926829268,-0.1297117516629711,-0.8137472283813745,-0.08980044345898008,-0.030487804878048808
