,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.14787846098525748,-0.1368212873067245,-0.02580007191657674,-0.12468536497662708,-0.11452714850773105,-0.06076950737144893,0.04890327220424284,-0.3891585760517799,-0.051060769507371484,0.3876303487953974,-0.00449478604818411,0.03371089536138072,-0.2825422509888529,0.2762495505213953,0.2507191657677095,-0.3006112909025531,-0.08890686803308157,0.052049622437972065
CEc,0.06518394648829418,-0.09341137123745824,-0.03795986622073566,-0.058628762541806045,-0.1347157190635453,-0.12337792642140455,0.05321070234113723,-0.3885953177257525,0.0160200668896322,0.4294983277591973,0.0024414715719063562,-0.11826086956521742,-0.24177257525083617,0.41812709030100326,-0.041070234113712356,-0.3209364548494982,-0.10260869565217368,0.032441471571906355
CEe,0.023985801217038638,-0.1344827586206896,-0.0546653144016227,-0.10395537525354959,-0.09936612576064907,-0.03927484787018232,0.06691176470588234,-0.39363590263691683,0.03166835699797166,0.5938640973630832,0.05382860040567952,-0.08476166328600421,-0.46850912778904674,0.5798174442190669,0.08286004056795115,-0.28785496957403667,-0.022388438133874367,0.03945233265720072
CL,0.0428075709779181,-0.1884227129337539,-0.08410094637223975,-0.23798107255520518,-0.2422082018927445,-0.2151419558359624,0.04425867507886405,-0.3881072555205048,-0.10482649842271297,0.5644479495268139,0.04482649842271294,0.19217665615141932,-0.4337539432176656,0.454416403785489,0.19810725552050457,-0.3358990536277602,-0.03599369085173487,-0.029652996845425772
MCr,-0.04425942156003515,-0.1721162273309509,-0.07924897188700886,-0.17349828086024388,-0.19419537517697028,-0.17265556529360238,0.005224836513179731,-0.43797613429515275,-0.027573653340524418,0.5996089799770781,-0.010247421290366071,0.0018876828692779846,-0.5553158497943775,0.5662711521607227,0.1307894559428302,-0.6353064113800311,-0.11329468077934335,0.01614643025685969
MCt,-0.05897435897435921,-0.2111721611721613,-0.11217948717948723,-0.22142857142857153,-0.2626373626373628,-0.2185897435897437,-0.030769230769231104,-0.5477106227106228,-0.09441391941391952,0.55503663003663,-0.0009157509157509264,-0.10769230769230775,-0.5107142857142857,0.6621794871794873,-0.015109890109890056,-0.3896520146520148,-0.1683150183150186,-0.03012820512820502
MCu,0.11336331061617377,-0.13152532846202458,-0.06179301622988831,-0.29354317431321575,-0.18450080798145163,-0.24120002810370256,-0.012400758799971712,-0.5659383123726551,-0.12471018056628957,0.43890957633668226,0.06959179371882245,0.10552940349891093,-0.25426824984191665,0.5978008852666339,0.24246469472352983,-0.36798285674137565,-0.08164125623550911,-0.06941614557717979
MS,0.10480012347584511,-0.16808149405772488,-0.08654885013119307,-0.23217317487266564,-0.211645315635129,-0.222526624479086,0.02762772032721106,-0.5564516129032258,-0.07427843803056033,0.42753511344343265,-0.020759376446982558,0.021608272881617818,-0.3710449143386325,0.5608118536811235,0.20990893656428455,-0.289087822194783,-0.0418274425065599,-0.056528785306374285
QLl,0.07898351648351642,-0.1619352869352868,-0.05395299145299148,-0.2436660561660562,-0.1968101343101345,-0.17132173382173388,0.019993894993895367,-0.36622405372405376,-0.11790293040293043,0.5306776556776556,0.04441391941391941,0.027548840048840173,-0.440018315018315,0.5318986568986568,0.2342796092796091,-0.32257326007326004,-0.08295177045177082,-0.11080586080586086
QLq,0.034377408345260374,-0.08265440933612256,0.006798414620719839,-0.13489485852691852,-0.15691401519321801,-0.09044368600682606,0.0804800176153253,-0.3262413299570627,0.08813167455686455,0.42750192667620834,0.05859848067819001,0.12482109435208644,-0.3889408785643511,0.4962292194208964,0.11562809644390604,-0.29959815039084003,0.024413739953759617,0.0574424749532092
SNs,0.05821454902924561,-0.19390513639714957,-0.09901081346768259,-0.35272794298353394,-0.20226099778815443,-0.1871467190956011,0.06583312853280932,-0.3756451216515115,-0.19891250921602355,0.24935487834848857,0.051548291963627424,0.18130990415335457,-0.15747112312607525,0.24757311378717128,0.30824526910788896,-0.2664045219955762,0.0009523224379450745,-0.03259400344064867
KNa,0.07117969138875058,-0.14700514352082283,-0.06139040982246535,-0.10253857640617237,-0.1594491455118634,-0.17662186825949888,0.06421105027376806,-0.3773021403683425,0.018085282893645083,0.49709639953542395,0.036917205906752945,0.20167579226812649,-0.38120126099220175,0.3982910237265638,0.19976771196283383,-0.29160444665671137,-0.11041977766716427,0.021071843371494925
KNc,0.07606531262445237,-0.15432098765432078,-0.09418558343289529,-0.1254480286738351,-0.1591995221027478,-0.08870967741935498,0.11429709279171618,-0.39536041417761847,0.0035842293906811484,0.41427718040621275,0.0564516129032258,-0.15352449223416986,-0.27907208283552376,0.5906013540422141,0.08034647550776586,-0.4266228594185584,-0.02289924332935067,0.03464755077658288
KNf,0.087423935091278,-0.14505578093306326,-0.07581135902636915,-0.2308316430020283,-0.1522312373225152,-0.1344320486815418,0.08805780933062879,-0.446501014198783,-0.1163539553752535,0.4246957403651116,0.10669371196754564,0.10555273833671386,-0.4579361054766735,0.3683569979716024,0.27317444219066944,-0.3830121703853955,-0.06468052738336727,-0.0028397565922919643
KNn,0.14791379858095954,-0.12453669384729427,-0.06803981785449542,-0.2704913692682409,-0.12440432066080698,-0.14298951604363053,0.15461188181721885,-0.3838557661760034,-0.11402626284019912,0.3477443609022557,0.06891348088531186,0.2909033146245896,-0.2909562638991847,0.2704119453563487,0.3734777083553955,-0.24774965582971498,-0.006062691941120413,-0.026474637297469128
KNs,0.11705655907610302,-0.010571513177376701,-0.027568848090020692,0.028397986378442486,-0.03523837725792123,-0.0122297897542194,0.2074622445957952,-0.2661533905833581,0.10044418122594023,0.38649689073141846,0.03023393544566183,0.10458987266804876,-0.3861415457506663,0.4013029315960912,0.14281907018063356,-0.2554634290790643,0.10236896653834737,0.06816701214095366
AT,-0.07371314342828583,-0.1436781609195399,-0.04847576211894067,-0.07646176911544234,-0.12581209395302362,-0.08483258370814584,-0.006746626686656931,-0.41066966516741626,0.02798600699650189,0.600824587706147,0.07608695652173912,0.06321839080459757,0.06509245377311346,0.6249375312343828,0.01374312843578207,-0.38655672163918053,0.0431034482758621,0.09107946026986502
VO,0.001211240310077244,-0.07259366925064636,-0.05418281653746759,-0.04554263565891481,-0.12225452196382425,-0.007832687338501287,0.06992894056847554,-0.38105620155038755,0.09237726098191201,0.661579457364341,0.08559431524547803,0.18863049095607254,-0.3146802325581395,0.7487887596899223,0.14397609819121437,-0.24895025839793283,-0.02648578811369484,0.07735788113695086
