,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.0018400566171266064,-0.034465675866949486,-0.05095541401273884,-0.019603680113234434,-0.042038216560509545,-0.12038216560509563,0.04005661712668074,-0.12583156404812457,-0.2755130927105449,0.1087048832271762,-0.01302193913658882,0.4907997169143665,0.0019815994338288068,0.08818117480537868,0.17855626326963914,-0.041967445152158556,-0.10375088464260429,0.01698513800424628
CEc,-0.05125608568646545,0.06967867575462527,-0.06496592015579361,0.26761441090555027,0.06481012658227847,0.09296981499513146,0.15898734177215212,0.17145082765335928,0.07404089581304762,0.3179746835443038,0.0028042843232716635,0.2503992210321324,-0.06644595910418705,0.3121324245374877,-0.0829211295034078,0.06103213242453753,-0.03957156767283365,0.11606621226874392
CEe,-0.06007860752386307,-0.04957888826501966,-0.06973610331274571,-0.07035373385738342,-0.07085906793935992,-0.05856260527793378,0.013138686131386912,-0.09253228523301527,-0.07125210555867478,0.2190903986524425,0.0014598540145985411,0.2839416058394164,-0.21448624368332392,0.43627175743964064,0.1781583380123526,-0.003986524424480775,-0.08613138686131361,-0.02212240314430103
CL,-0.015123952202603874,-0.015302300695559268,-0.007561976101301937,0.13401105760656318,0.05464597824148365,-0.0003923666845015994,0.08924558587479936,0.1269127875869448,-0.0367041198501874,0.12084893882646697,-0.04052077759942929,0.31471375066880647,0.07226680934546104,0.09238451935081149,-0.07515605493133592,0.29937578027465683,0.04180488674870686,0.040948813982521814
MCr,-0.23279617645814832,0.0721143678890157,-0.030960538002791527,0.19434927885632103,0.05092416360022001,0.08641035401598751,0.0039758067927082585,-0.038150826883221245,0.0428456625639726,0.452226874762086,-0.0005075498033244585,0.392547477054519,-0.15742503066446734,0.45755614769699293,0.03565537368354277,-0.2808865203231401,-0.02131709173962726,0.09575772956054629
MCt,-0.17161716171617147,-0.08250825082508273,-0.06600660066006592,-0.08910891089108897,-0.1452145214521452,-0.10231023102310255,-0.08580858085808618,-0.03300330033003307,-0.09570957095709587,0.27722772277227725,-0.0396039603960396,0.04950495049504955,-0.12541254125412538,0.37623762376237635,-0.14191419141914197,-0.3003300330033003,-0.06600660066006592,0.0
MCu,-0.11579401611047202,0.03322784810126578,-0.09421749136939017,0.014096662830840101,-0.0069044879171460405,-0.038262370540851354,0.0665995397008059,0.020569620253164556,-0.026467203682393414,0.1477272727272727,-0.03941311852704259,0.005034522439585576,0.15822784810126578,0.2855293440736477,-0.4492232451093211,0.18138665132336018,-0.013665132336018182,-0.021864211737629313
MS,-0.07051447538262945,-0.06951871657754038,-0.07995574405310724,0.05933984879218124,-0.03392955928452901,0.023049972340033253,-0.07811174626590445,0.12281025262769685,-0.18841969389636737,-0.022127973446431914,-0.06579384104739075,-0.10625115249861716,0.21633782039461535,0.08017702378757141,-0.3581412502304997,0.3369721556334133,-0.0963304444034665,-0.008113590263691739
QLl,0.0007627765064834868,-0.023809523809523725,-0.06015037593984962,-0.01727143946823584,-0.08924485125858106,-0.036449820202680616,0.06636155606407357,-0.05535578075623848,-0.09997820638552901,0.18775198866732046,-0.007300860847771595,0.5059932439795141,-0.208237986270023,0.18186771276016134,0.15794922087828267,0.10967636482510623,-0.14154952598888526,0.009044350005448454
QLq,-0.15859529878221457,-0.09336354196167296,-0.00302086283394698,0.015576323987538832,-0.08131155794707179,-0.014128827212939399,0.001950973913590559,-0.04008936719217093,-0.07121054784606184,0.23273230749866258,0.030586236193712826,0.21237295069070772,-0.17489537115705334,0.33109915352906016,0.09512571194814168,-0.12728531420120204,0.013342144183265514,0.051858145316089344
SNs,-0.05968472422146576,-0.02496225818909492,-0.03693431169469519,0.04195485026155943,-0.0662851525471333,-0.01155074956991875,0.04837973528069339,-0.020011936944844266,-0.1559877821858653,0.13931116806516164,-0.04269213214900115,0.08261068005476968,-0.12393357441280783,0.2684408243513674,0.01695748341115766,0.03338833690271392,-0.005898255099533234,0.050135168346030934
KNa,-0.08385899814471243,-0.15479282622139756,-0.06691403834260967,-0.08478664192949914,-0.13234384662956078,-0.16604823747680886,-0.025231910946196923,-0.16215213358070496,-0.1846011131725418,0.22436611008039575,0.0013605442176870819,0.16468769325912191,-0.0048237476808905555,0.203834260977118,-0.017501546072974827,-0.10173160173160167,0.057142857142857384,-0.011008039579468054
