,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.040453279329562,-0.03317447655353334,-0.05108635841670983,-0.05029907708142023,-0.05368609641458111,0.011700269796706131,0.06987418855981975,-0.23381444326576006,0.008728188583580376,0.28076793687377155,0.03549082804205132,0.1307611419722945,-0.24929638722767167,0.23149200679084503,0.07517392195048722,-0.11619513334378406,-0.027618304450414133,-0.03320316291797698
CEc,-0.02926242416287339,-0.030502836437078518,-0.0499348975174827,-0.01708792459928521,-0.04843196750656387,-0.012437017300301889,0.041096481016805964,-0.22651160874509813,0.043639262305997795,0.3232631274038177,0.036803262118211555,0.11017952444688417,-0.30545727108660947,0.3053700845390148,0.06840215801076699,-0.1778532117065026,-0.029925105797522278,-0.016695106088144174
CEe,0.006191551297332065,-0.08651897863757219,-0.07909542037223805,-0.15318201613642612,-0.0939866599431558,-0.07865075181076353,0.03838074172549755,-0.3575181076372972,-0.04810901256074085,0.29211343632529574,0.041897978362519475,0.26460243421655827,-0.47738207114696984,0.2842257265975978,0.18512251306500427,-0.15106296415146248,-0.11589231686073154,-0.09373223617860083
CL,-0.06917308635975994,-0.019723583975302716,-0.051112190985273864,0.017826260951591344,-0.03945729177088242,0.0074344571964881645,0.04432982691840426,-0.2253461155497115,0.10895136278531314,0.4172371737152277,0.03603127188531735,0.09701180556548117,-0.2651267740506238,0.37413232905036176,0.07181540345210347,-0.16743309941353313,0.03298757509492578,0.005023201413999923
MCr,-0.11570876874148084,-0.07556603059215483,-0.04832841132818411,-0.12170288757635417,-0.137267782321167,-0.057850598212933146,-0.02471856226967528,-0.2350699177141703,-0.053943914382351466,0.3065803422686657,0.021374753899742555,-0.014649275581806176,-0.3091290574991168,0.2899849815740321,0.013913498914634781,-0.17510538139229648,-0.11333989600686589,-0.08333333333333326
MCt,-0.08987832978038313,-0.09035367461655675,-0.06111122923533863,-0.1351907510477537,-0.10366333002941475,-0.07584633662628093,-0.024296179445005617,-0.26914857642668255,-0.01740134919874392,0.3610509082086403,0.03624475249301182,-0.015665991028448456,-0.34440218833383773,0.3482978606278453,0.06245658327840564,-0.22986621897260862,-0.07109783977325579,-0.0644068951797645
MCu,-0.06620434141242448,-0.07671839434170558,-0.04638028389164073,-0.09754501138106542,-0.08085379971278672,-0.028072887664488455,0.004039545538915057,-0.2258994949346932,-0.005017071598135914,0.32687592196399085,0.050206129167765706,0.061390590350028695,-0.2547557467053525,0.30769479694811586,0.08289494250852347,-0.22890900520695956,-0.02098963981126012,-0.0419456981526527
MS,-0.07299506557589908,-0.0877418517075701,-0.05355408388520977,-0.09522075055187651,-0.08708154785092859,-0.05881703674847438,0.009720166212180636,-0.24601545253863133,-0.0019841579015713595,0.35045708349564997,0.028354109855862883,0.09319244253992975,-0.2818491105051293,0.3346857550967408,0.10019153356706934,-0.24567523698221017,-0.018669653291780275,-0.05095312297104271
QLl,0.022172402374470934,-0.08710573603245164,-0.07191893392289317,-0.19987302228866688,-0.10788783594917972,-0.1313927129646313,0.03548436579320269,-0.3295838588562997,-0.11544258367380733,0.17585986919956564,0.019915291379150823,0.3111343504536137,-0.4836414237086746,0.2016930767320344,0.23686091131769493,-0.05555731406226405,-0.1363780794834213,-0.1260689015393155
QLq,-0.09884618509791165,-0.07949018560865495,-0.05811501004074349,-0.13706833509384908,-0.11878663710548021,-0.0720490081138494,0.002463174267838042,-0.2546140988287734,-0.013150471856899104,0.35960370985153634,0.04432959175382187,0.06659392447968049,-0.3563384368942182,0.2844954671557418,0.06558868936377671,-0.18495339469988048,-0.06340526297461357,-0.02507922320630529
SNs,-0.03828262932777493,-0.01960665641935755,-0.057662919308226535,-0.03111752334348261,-0.029611875011311017,-0.003720657287441753,0.06667099818699196,-0.21384092817953626,0.03548049169282641,0.294746607544381,0.045087269750768474,0.1442645479005331,-0.26154164741958597,0.24700346313950372,0.08659243152860263,-0.0429031154608277,-0.005824411439841803,-0.019328074392971573
KNa,-0.01605809324635965,-0.029507258077214438,-0.0527457017668167,-0.008382467245251712,-0.030607170616703927,-0.0013028896322793138,0.08948226527016123,-0.1719393473527807,0.05410985669931767,0.24457594535364247,0.03901712136112029,0.182225905774541,-0.2808009149714932,0.23372998320929983,0.04672309372588934,-0.045434518416091585,0.023568245679579825,-0.02366672821825344
KNc,-0.06435973376301396,-0.07263532951295426,-0.0445195847496862,-0.08562109260698891,-0.0864475164096683,-0.05433564642331845,-0.011868222913848037,-0.19316169422558405,0.015624042626132706,0.30032659431797026,0.02354306564674312,-0.047176395303761165,-0.20025788009293,0.3202961615976849,-0.02842658771255757,-0.1457706977318327,-0.03348974113656711,-0.026604569809796974
KNf,-0.04704927971951767,-0.08433605671414046,-0.06031270436709768,-0.14173766531027465,-0.09581694611975,-0.09812459126580464,0.015422903647725583,-0.28896429025577675,-0.07141608232815,0.25361105308094756,0.03871053444266821,0.16623900959162885,-0.35376739391076906,0.17911129832146488,0.11267098713849744,-0.10905141876180768,-0.07411713413748,-0.09897157934893186
KNn,-0.023041328456765875,-0.05508289258408228,-0.05462854695509134,-0.07846696306770529,-0.06127434318164293,-0.036818424904938585,0.05612641458982015,-0.24557381246969145,-0.0020411562359787805,0.29756749468608223,0.05800894641667459,0.22823503152093583,-0.3662178728919949,0.26219878357738824,0.17561931501448025,-0.17039094118660114,0.007662125476439741,-0.034842417979850104
KNs,-0.057801570884955744,-0.038955661024036026,-0.0541975698982351,-0.02374275646056656,-0.048706852857111294,0.014989485219432108,0.051789637764875884,-0.1842873597777983,0.09313714932424255,0.3305299661913118,0.0435096249800057,0.2004777957642796,-0.2766457002832372,0.30308930369839415,0.021062298674905167,-0.18096880715608132,0.008986167241153087,0.015934566274993678
AT,-0.034936113461345286,0.0021058896075025757,-0.04675333056085362,0.01787317338993022,-0.004861399911089581,0.00972136578090721,0.04893594137639257,-0.2354358768445356,0.08702049244977283,0.33012131989158633,0.05192161530408844,0.11121993890984205,-0.22791791547760742,0.3227711413534482,0.05068188662469697,-0.1526049359700572,0.04394189264767068,0.0031656461072948616
VO,-0.06208194553739732,-0.07177897900920538,-0.06747376150650597,-0.10503175155097644,-0.06067908972786995,-0.05300999213073965,0.047467768058122584,-0.31963838003037903,-0.018451585747488064,0.36739209505334625,0.06444844261845066,0.2259730203319732,-0.4395153542082244,0.29385282652855804,0.18574542942371397,-0.22880275149607465,-0.048152325091960435,-0.037541977014439176
