,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.19480519480519476,-0.014842300556586085,-0.051948051948051965,0.2847866419294991,-0.016697588126159513,-0.0009276437847867136,-0.06771799628942476,-0.19758812615955468,0.10482374768089064,0.048237476808905444,0.14100185528756956,-0.11224489795918347,0.04174397031539878,-0.0037105751391466324,-0.06586270871985156,-0.11781076066790352,0.10389610389610393,-0.0575139146567718
CEc,0.039243277048155,0.14086929330831754,-0.04878048780487809,0.48311444652908064,0.2304565353345842,0.22388993120700462,0.17995622263914957,0.2620387742338962,0.18652282676672916,-0.04409005628517826,0.08317698561601,0.12648530331457186,0.3488117573483427,-0.11554096310193884,-0.022983114446529118,0.23655409631019397,0.09302689180737955,0.0522201375859912
CEe,-0.23344988344988327,-0.0695804195804195,-0.05594405594405605,0.19370629370629366,-0.12517482517482525,0.0820512820512822,-0.05023310023310046,0.009324009324009341,0.09743589743589753,0.2388111888111889,0.11177156177156178,0.3561771561771563,-0.1332167832167832,0.3079254079254079,0.20477855477855478,-0.21282051282051295,-0.05710955710955723,-0.01655011655011651
CL,-0.08993464052287559,0.054379084967320246,-0.10535947712418303,0.3137254901960784,-0.06392156862745102,0.06784313725490199,0.028235294117647136,-0.1858823529411765,-0.05045751633986928,0.13032679738562092,0.1884967320261438,0.19137254901960743,0.26026143790849665,0.3585620915032681,-0.36143790849673196,0.3141176470588236,0.07045751633986885,-0.02431372549019617
MCr,-0.17647058823529393,0.1024955436720143,-0.010873440285205094,0.35472370766488415,0.035828877005347426,0.12691622103386813,-0.0657754010695184,0.0802139037433155,0.0964349376114082,0.14117647058823535,0.12477718360071302,0.1693404634581106,-0.09215686274509793,0.19750445632798574,0.4092691622103386,0.00552584670231715,0.0786096256684492,0.011408199643493822
MCt,0.06708860759493707,0.14402250351617418,-0.0220815752461323,0.3894514767932491,0.12939521800281284,0.10281293952180048,0.09015471167369915,0.03699015471167366,0.05963431786216611,0.00914205344585084,0.1368495077355837,0.09395218002812955,0.6146272855133617,0.09310829817158939,-0.10731364275668076,0.36413502109704665,-0.00886075949367049,-0.05780590717299572
MCu,-0.048518397915988665,0.10696841419732994,-0.04819277108433728,0.28915662650602414,0.1268316509280365,0.1279713448388149,0.01676978183002298,0.019049169651579323,0.11478345815695223,0.07847606642787364,0.16183653533051123,-0.0258873331162488,0.4124063822859003,0.13415825464018227,-0.44220123738196027,0.2981113643764248,0.11055030934549004,0.00667535004884412
MS,-0.02213053263315823,0.10015003750937757,-0.08458364591147793,0.2790697674418605,-0.05457614403600908,0.12659414853713447,0.11496624156039026,-0.05570142535633904,-0.028132033008252177,-0.01275318829707428,0.21792948237059262,0.5296324081020254,0.5688297074268565,0.3486496624156039,0.1772318079519879,0.14159789947486878,0.09846211552888251,-0.04294823705926487
QLl,0.010990183525394492,0.014511310285957979,-0.06060606060606055,0.12537345283824153,0.0008536064874093974,-0.02230046948356801,0.04918907383696114,-0.19206145966709354,0.007362355953905331,0.008536064874093086,0.047801963294921035,0.24434485702091324,-0.21254801536491663,0.06860862142552282,0.18971404182671803,0.1383909517712334,-0.014938113529662456,-0.07063593683311997
QLq,-0.35183850036049047,-0.01814467676039433,-0.10358086998317717,-0.06152367219418409,-0.14455659697188183,-0.08062965633261232,-0.09432828646959823,-0.015260754626291728,-0.10946887767363611,0.18877673636145165,0.14972362412881518,0.29031482816630616,-0.10730593607305927,0.2454938716654651,-0.04458062965633269,0.17940398942561875,-0.19009853400624843,-0.05767844268204758
SNs,-0.2753682487725042,0.006819421713038842,-0.10665575559192575,0.224631751227496,-0.0289143480632843,0.16012002182214946,-0.018821603927986708,-0.1944899072558648,0.09669939989088938,0.181533006001091,0.20812875068194214,0.2508183306055649,-0.08196944899072545,0.2647299509001635,-0.08592471358428799,-0.022504091653027913,0.007637752318603308,0.039279869067103235
KNa,-0.15282555282555288,-0.09840294840294872,-0.029115479115479292,0.14975429975429977,-0.10847665847665855,-0.08697788697788722,-0.0007371007371008709,-0.032555282555282616,-0.22174447174447165,-0.062285012285012376,0.08513513513513514,0.3524570024570024,-0.07260442260442268,0.01904176904176902,-0.2863636363636364,0.3471744471744469,-0.009459459459459474,-0.07002457002457008
KNc,-0.055972482801751156,0.07739212007504692,-0.11225766103814894,0.514853033145716,0.13524077548467783,0.12867417135709802,0.053001876172607876,0.008130081300812941,0.091307066916823,-0.1075672295184491,0.05143839899937461,0.12648530331457186,0.3488117573483427,-0.14727954971857393,-0.37210756722951843,0.2682926829268293,0.12476547842401464,0.02048155096935589
KNf,-0.16229193341869408,-0.0721297481860863,-0.06060606060606055,0.03873239436619724,-0.10744771660264618,-0.0439607341015793,0.005868544600938996,0.02454118651301751,-0.16591976099018346,0.030196329492104157,0.09112249253094322,0.22268459240290195,-0.1692274861288945,0.13358941527955626,-0.1351899274434485,0.11673068715322232,-0.0582586427656846,-0.07063593683311997
KNn,-0.20270270270270263,-0.07346437346437362,-0.029115479115479292,0.12481572481572467,0.04115479115479115,0.06265356265356248,-0.05061425061425062,-0.00761670761670763,0.02764127764127755,0.13722358722358718,0.035257985257985264,0.1030712530712532,-0.09754299754299756,0.11879606879606874,-0.31130221130221136,0.5466830466830466,-0.059336609336609225,0.054668304668304524
KNs,-0.0247327864777529,0.11235396470295811,-0.0032314193388018886,0.4735272184936614,0.16244096445438738,0.19985085756897814,0.11073825503355694,0.008948545861297452,0.19947800149142436,0.08538404175988068,0.11483967188665174,0.32165050956997243,0.2480735769326372,-0.047601292567735376,-0.13397961720109364,0.2953020134228188,0.07133979617201058,0.1254039274173504
AT,-0.21264367816091956,0.13793103448275845,-0.08620689655172409,0.4770114942528736,-0.11494252873563204,0.0862068965517242,0.0344827586206895,-0.0862068965517242,0.034482758620689724,0.2183908045977011,0.3620689655172414,0.12643678160919514,-0.22413793103448287,0.4770114942528736,-0.12068965517241392,0.13218390804597702,0.16091954022988464,0.05747126436781613
VO,-0.12111563932755987,0.032348446255730856,-0.07883341823739187,0.26617422312786543,-0.025471217524197787,0.04495669893020926,0.057564951604686776,-0.1893785022924095,0.14225674987264392,0.1847936831380539,0.20236882322975036,-0.07806928171166616,-0.2244014263881815,0.3829597554763118,-0.20593479368313816,0.08456444218033643,0.03209373408048899,0.06533367294956705
