,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.20958646616541365,-0.15413533834586435,-0.08270676691729317,-0.23872180451127822,-0.2114661654135339,0.015977443609022313,0.003759398496240518,-0.3759398496240601,-0.24624060150375948,0.42105263157894735,0.023496240601503765,0.6165413533834587,-0.8656015037593985,0.16165413533834583,0.5225563909774438,-0.5385338345864661,-0.18045112781954886,-0.04981203007518786
CEc,0.19013303769401357,-0.1119733924611972,-0.0643015521064303,0.0011086474501107446,-0.15687361419068724,-0.0593126385809315,0.09201773835920202,-0.4390243902439024,-0.15410199556541015,0.4190687361419069,0.02383592017738359,0.6929046563192904,-0.5593126385809313,0.296008869179601,0.26607538802660735,-0.3364745011086474,-0.0643015521064303,-0.004988913525499017
CEe,0.12064941653982775,-0.08422120750887885,-0.10593607305936059,-0.11953323186199882,-0.06585489599188232,0.07904616945712828,0.19381024860476925,-0.34865550481988844,0.03632673769660055,0.5954337899543379,0.015525114155251138,0.43450025367833556,-0.8396752917300863,0.5404363267376966,0.2009132420091324,-0.272044647387113,0.05763571790969069,0.0419076610857434
CL,0.17930614729153982,-0.22665855143031033,-0.15435179549604383,-0.3371880706025563,-0.3063907486305537,-0.1208764455264757,-0.002191113816189638,-0.546804625684723,-0.3138161898965306,0.5838101034692634,0.05514303104077906,0.5806451612903225,-0.8461351186853316,0.4818015824710895,0.5721241631162508,-0.5556908094948265,-0.1606816798539259,-0.06512477175897735
MCr,0.16041666666666643,-0.1812499999999999,-0.15208333333333346,-0.16874999999999996,-0.2124999999999999,-0.05833333333333357,0.04999999999999982,-0.3958333333333333,-0.16041666666666665,0.5354166666666668,-0.012499999999999997,0.3999999999999999,-0.7875000000000001,0.4708333333333332,0.2875000000000001,-0.58125,-0.09791666666666643,-0.09375
MCt,0.047859547859547824,-0.2602212602212606,-0.15488215488215495,-0.3535353535353536,-0.29894179894179906,-0.18253968253968278,0.033189033189033434,-0.6050986050986051,-0.23232323232323226,0.6031746031746031,-0.022366522366522368,0.43434343434343425,-0.9776334776334776,0.6892736892736893,0.07984607984607983,-0.4163059163059164,-0.19240019240019235,-0.10990860990860996
MCu,0.1803362854575794,-0.08394301116673075,-0.072391220639199,-0.2682582466949044,-0.15209857527916837,-0.17828263380823994,0.08702348864073928,-0.566294442305224,-0.26209729174688734,0.3691438839686818,0.012450263124117567,0.7529200359389039,-0.6873315363881403,0.4782441278398153,0.3527146707739701,-0.35130278526504943,-0.10576305994095758,-0.14106019766397138
MS,0.13214285714285712,-0.15714285714285703,-0.11904761904761907,-0.2071428571428573,-0.21785714285714275,-0.15357142857142847,0.10952380952380913,-0.49047619047619045,-0.3023809523809524,0.257142857142857,0.0035714285714285726,0.6904761904761907,-0.7964285714285715,0.3142857142857143,0.33571428571428585,-0.15119047619047632,-0.057142857142857384,-0.21309523809523823
QLl,0.1935848668654261,-0.1729207360954046,-0.10321784722936167,-0.2999897193379253,-0.1800143929269047,-0.11133957026832553,0.09314279839621653,-0.39189883828518557,-0.22432404646859272,0.515266783180837,0.018813611596586816,0.5072478667626195,-0.7579932147630308,0.5249306055309961,0.2849799527089545,-0.5665672869332785,-0.11925568006579601,-0.200370103834687
QLq,0.14366966215447619,-0.08667955863951793,0.007735183710612992,-0.21817768171994079,-0.17051529973836876,0.04925491980434504,0.1276305312251167,-0.3353429643954044,0.005687635081333298,0.4827664657035604,-0.0296894551245592,0.48572403594585367,-0.5779774769650778,0.5253099761119326,0.31168240245705836,-0.38164031395745646,-0.010010237743146355,-0.011944033670799659
