,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
CEc,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
CEe,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
CL,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
MCr,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
MCt,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
MCu,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
MS,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
QLl,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
QLq,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
SNs,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
KNa,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
KNc,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
KNf,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
KNn,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
KNs,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
AT,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
VO,0.2916666666666665,-0.08333333333333348,0.03125,-0.005208333333333259,0.02604166666666674,-0.09375,0.109375,-0.44270833333333337,-0.15625,0.33333333333333337,0.05729166666666667,0.46875,-0.453125,0.16666666666666674,0.578125,-0.14583333333333326,-0.03645833333333348,-0.078125
