,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.9579295692579758,0.9998555326388457,0.9125257974153727,0.9692986753710853,0.9708573520406377,0.9222912588559838,0.9315607368973464,0.8041721519845754,0.8094875614580151,0.00013557268745561485,0.015316654243600543,0.9622500700437778,0.8782802883849925,0.0015182716700244488,0.39974248108187493,0.9998441616782587,0.9195121453166225,0.7325288343202323
CEc,0.9689244568302294,0.999185470624811,0.6073932117627316,0.9886344949887286,0.9835447450861272,0.9423981708452899,0.960446217281948,0.7807523699294436,0.8732524183983512,0.0005387567731728612,0.022756684141893052,0.9728096235485701,0.7790941409576249,0.001590459076198106,0.33345631675821275,0.9999016597983464,0.9396119508199037,0.88522107591682
CEe,0.9770576497798724,0.994328358712439,0.8822103332913944,0.932491009364607,0.9296435443805864,0.7190444460667985,0.8025631928808368,0.30865709765334004,0.6656207617531852,0.0003264727225714065,0.007084517016736423,0.9886779833341083,0.7312498462948617,0.002651213337583003,0.6695608106717826,0.9885267749640471,0.7476704276081171,0.5859514996729581
CL,0.9111576674983133,0.9993686461324873,0.756679085212813,0.9677744588701265,0.9885060544174882,0.8685936474220163,0.8654604124876255,0.7407707627274205,0.7936122679183734,0.0003914699758726823,0.01328679117195305,0.9871162777192936,0.7556948474443528,0.0009556726432476017,0.6362653742597695,0.9958491056285895,0.9062122680928747,0.7351337157076924
MCr,0.9819757643514027,0.9996976908551184,0.8950920564205519,0.9517367014658207,0.9857132742100438,0.8493724882122711,0.9688108539427767,0.56959919188643,0.8008454415980037,0.00014896719267323236,0.009827209416942364,0.9899933235302033,0.8463998446083262,0.0014123525176880198,0.3196485838429959,0.9997621312167474,0.8538923685618603,0.6864677043532895
MCt,0.978298845955787,0.9998596307811899,0.9644714452174256,0.9687960398693264,0.9898398908269945,0.8659381763566425,0.9418402758984642,0.7672882110739294,0.8199572689894343,8.856230264958051e-05,0.00837246764935617,0.989346895624141,0.7389944904569913,0.0008727503015443544,0.5045821552717219,0.9983928391493919,0.8204371214025459,0.7487493755052761
MCu,0.9809233357391349,0.9993799257798981,0.8922490712169773,0.9717169045919033,0.969735929789322,0.9141471834572612,0.9529904958731016,0.5778492807488764,0.8947330360757406,0.0003020059843571116,0.011461153220894329,0.9771498371707346,0.9064401119352486,0.009084619343882362,0.6683270570948512,0.9976180683797371,0.898037778726986,0.9368594229459454
MS,0.9786405810197585,0.9977236909766987,0.7827301735494058,0.9179198647704785,0.9893994770928953,0.7309856226980198,0.8274291111806262,0.6493136999853419,0.5654265037252866,9.960048813425424e-05,0.07759153980282905,0.9888947633501329,0.7813451840716052,0.0012996590079779598,0.5727792328843719,0.9986621044925378,0.5396559249253847,0.8200489258039065
QLl,0.9739980439556837,0.994328358712439,0.9619797808330691,0.932491009364607,0.9576101751133994,0.7190444460667985,0.8370948664324824,0.6083916184492154,0.6023311331967969,5.126398866071347e-05,0.007084517016736423,0.999103121460524,0.7312498462948617,0.00011479711664892929,0.6515969662187582,0.998414332031173,0.6965311756122917,0.5859514996729581
QLq,0.9870229119482986,0.9995607756826704,0.9125257974153727,0.9463073689831608,0.9826624945570355,0.8457145085002387,0.9315607368973464,0.7004595254263545,0.8066314171353837,2.558610659972524e-05,0.015316654243600543,0.9622500700437778,0.9706555546340297,0.0015182716700244488,0.28621548086889015,0.9999236795345784,0.922216366076757,0.873206838012591
SNs,0.9934609757800255,0.9997033254947806,0.9593662137483492,0.9910568963271134,0.9900628033301798,0.9287092072810061,0.9662993546630447,0.5619055826927568,0.9156802233840692,0.001224789291573905,0.005951073060293481,0.9932945829730299,0.7558617127873402,0.007284415040121738,0.6141651559388451,0.9971910372860867,0.8953360563339707,0.7428454641183215
KNa,0.9899460068456344,0.9958050787026088,0.9644714452174256,0.9378974188735901,0.8507410402980997,0.6699083557501515,0.874638460596816,0.6162909185861414,0.5286324893247242,2.309266482956909e-06,0.00837246764935617,0.9701597425037756,0.7389944904569913,0.00026728032527692795,0.4622528871903269,0.9980539243680567,0.7203253540015055,0.7487493755052761
KNc,0.9899460068456344,0.9995642921391613,0.8887819498251422,0.9702574864408153,0.9653646511357832,0.9077827015145544,0.9418402758984642,0.7526177834383609,0.8663747660424463,0.0003204805674613595,0.00837246764935617,0.941241607043319,0.8209130972514573,0.007313308234484775,0.3117036632335566,0.9980539243680567,0.8495083494728096,0.9184056329909015
KNf,0.9930134216723078,0.9995815426052861,0.9278534195696012,0.9812043866820961,0.9766904729977605,0.9198504541679532,0.920193541163629,0.6725918045616022,0.8615975242593723,0.00011927217915507578,0.022756684141893052,0.9684721343553387,0.9605652531812738,0.006476955740681781,0.33345631675821275,0.9973304602724502,0.8556913048644725,0.9229812545637032
KNn,0.9933299456718246,0.9982990294044274,0.9691033129666559,0.9577756809821654,0.9060419574732017,0.8514690438238612,0.8486640810712802,0.7345365849794435,0.6211154453543655,8.124714922139159e-06,0.011461153220894329,0.9838655927324489,0.9064401119352486,0.0007531020358494353,0.45582466678618433,0.9967135592105716,0.8686212918406798,0.8909293710832991
KNs,0.9899460068456344,0.9987595174219015,0.8887819498251422,0.9806557248820156,0.9445608567106969,0.9077827015145544,0.9418402758984642,0.4836869671520332,0.8663747660424463,0.00011124808206538166,0.00837246764935617,0.9530131025424098,0.641191959570702,0.005064041942642989,0.6063895976402889,0.9930162458616025,0.882243565083125,0.9184056329909015
AT,0.81298174691337,0.9871914144806475,0.9373311827501332,0.8743204354605495,0.8251070462786991,0.6411019195061869,0.8458393670525384,0.35677633211264126,0.6462838796354851,0.0008095362269061967,0.001360774480692342,0.9931464703432915,0.6712085833617312,0.008330735191833381,0.8554049004042714,0.9719848817019116,0.6580546919747662,0.563834208549493
VO,0.987749092363137,0.994328358712439,0.8822103332913944,0.8398248012070071,0.9551205690091165,0.7190444460667985,0.8988075266558864,0.28352692498457416,0.6752990836758005,0.0003264727225714065,0.007084517016736423,0.9807726066222106,0.8150402524579127,0.008630731685030315,0.6695608106717826,0.9930485338157093,0.6230468398283532,0.5582926768462819
