,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.7921060167961027,0.06820370641638447,0.9312718987249549,0.5742617898536645,0.38358805988457123,0.3077453545110824,0.07734155344391416,0.847944458527437,0.13005651505067084,0.00516193339280387,0.5762733419206539,0.6253355825427555,0.9212737586487852,0.00026199422214641616,0.5730207237326375,0.7115934691822442,0.15787294255439732,0.1992069550620405
CEc,0.9183394285463122,0.8387780037370892,0.9562115509422334,0.9951204570415646,0.8545264927439621,0.9296304179771658,0.3309350726850784,0.9938123281010117,0.6176606435552758,5.2436505536956044e-05,0.06686829757116629,0.08728561644434324,0.9767474051378127,0.0002831919581058134,0.02162581446280327,0.9884286455232819,0.7624507432044743,0.6460881708641858
CEe,0.4055468109670722,0.23505151534097585,0.792617440472799,0.8109389616803975,0.4050770265164929,0.48372861406581397,0.0781480388728767,0.6600025518945432,0.17911412824471407,0.056947131190127565,0.4324895160084472,0.5454529311110827,0.7394054207480435,0.04073774657288605,0.5587035777093136,0.3857818970857245,0.19070102037253756,0.41543733702963925
CL,0.9058825232942902,0.6712564199701783,0.938314383466973,0.9338437239130963,0.8293214682065257,0.865436902529608,0.618168957915332,0.9717035052373161,0.42058032640210974,0.0012250460323107327,0.10030991867426092,0.5692337058366166,0.8986501921510096,0.00021659051059879077,0.4423451053080144,0.9034815109389231,0.9061469991551179,0.5377456335299493
MCr,0.8603619941033973,0.774330969472495,0.9444386374892266,0.9637319246081507,0.8656703376103703,0.8757064989348015,0.41079665326902026,0.970253976925296,0.5004397282503121,0.0005951800982986858,0.061859079209484566,0.16151223924006958,0.9376490755467366,0.00010804746453024347,0.020775195505117472,0.9792794225635706,0.5101463236395002,0.5510701158567121
MCt,0.8796316551561242,0.532688850615137,0.9807163232865385,0.8918524697813159,0.854210523151909,0.6427902639742423,0.19470858139238983,0.9105315262789095,0.2984140654374306,0.0003322282415300789,0.18765581189501074,0.19879330985491678,0.9461657957310831,7.084756793209215e-05,0.16541538102334813,0.8621684727027075,0.3422194361479859,0.468042082627569
MCu,0.9878375927178811,0.5842319839089852,0.98274099292428,0.8852984580154742,0.8510523158995682,0.8343483204276169,0.24087177193671921,0.9774278220911612,0.34616224059651257,0.0001815581590204436,0.33224752574961813,0.2815833935072727,0.9754530349092895,3.377248218744396e-05,0.064950043997114,0.9776094082706086,0.5101463236395002,0.2582036855509716
MS,0.8883290092103159,0.37244717716607034,0.9958204669912238,0.8243262578298702,0.7966676559727365,0.75432236571558,0.2882103747361077,0.9379359074432098,0.16915313926955888,0.0006753345992607322,0.047448226558563136,0.5315282768317947,0.9285788374789569,4.941241026971139e-06,0.5696942654101873,0.9416620543886025,0.2340103487107804,0.3685003721776199
QLl,0.9446556100556173,0.7528395493946173,0.9834778313358177,0.7578321523124583,0.9404463694280442,0.5278883676120523,0.48024788307862376,0.9941652439918741,0.0946917900146047,3.455805630291758e-10,0.084173574113875,0.4607032591009996,0.999575144939194,1.6253954555332539e-09,0.02772992530020278,0.9993291143422921,0.6929977049260628,0.11282602024492872
QLq,0.9943276030296141,0.9519995272933257,0.9992762075434826,0.9925745744611175,0.9901341248651264,0.9155395060989291,0.8664650916287039,0.9997678711850703,0.24109986824331253,2.7406220109453525e-11,0.11444468563198429,0.47909212319612166,0.9951281749187173,6.744733906147222e-09,0.17718762727919818,0.9991105374126753,0.9561627592449058,0.25236230371045865
SNs,0.7347912432081626,0.369241450217647,0.9809666653271042,0.8867013724034575,0.7527339285102221,0.43543523094472547,0.4714116760227548,0.9823492691870239,0.14554740917363346,0.00027023312772467235,0.06934612279754471,0.7310036621572231,0.981648546346508,0.0009297985823661936,0.34346072218986573,0.9823137020241846,0.4966912891970536,0.19095965715809443
KNa,0.5893109151966722,0.12095984299007617,0.9802652259808033,0.6056494416489591,0.4392188902565979,0.6083030585048843,0.05581325810519815,0.9519427774671712,0.02834109707684948,2.497831564777363e-05,0.005199860220265999,0.12662093671462094,0.9677231422218322,7.744044975349106e-06,0.22829781130667465,0.9382797080209573,0.10098020783958744,0.2499284029345673
KNc,0.9433029655344455,0.363595413267932,0.8379666458725701,0.7319278231513779,0.8599897300469386,0.48382570022521887,0.23612717511866071,0.6744427086736743,0.22381441519253187,0.00034226332403149905,0.2351401408040712,0.588459209360107,0.8891173758591382,5.807426943211861e-05,0.691972968672761,0.7376121961526403,0.413771958060148,0.49752541392057487
KNf,0.9547174896982126,0.8822799953804394,0.9959815857958089,0.9659862120803562,0.9778946886495656,0.8913469818277406,0.661847524871375,0.9973209058749015,0.20860233152419022,1.280042368868448e-09,0.10659255707518961,0.26454434847867114,0.9922167742311399,6.764012418919238e-09,0.05353240034624358,0.9953178193171963,0.7643064447742076,0.11833739455807446
KNn,0.7959377183877423,0.8054970006328983,0.9960289523415584,0.8627378528747054,0.7903706717786219,0.6701683997091233,0.27361331778277664,0.9949980296484782,0.12401384772479046,4.289059550245832e-08,0.0003172407355070197,0.2837144892754725,0.9984118692772599,2.466134676540082e-07,0.0003460972779504458,0.9997990907222915,0.4907026551567343,0.10793439260452098
KNs,0.8448452884339995,0.21198677569620206,0.9352615130942689,0.7589740715246656,0.44211014123627856,0.5949085670413234,0.2679345003320588,0.8423469562871229,0.022726309015246648,6.591607875195851e-06,0.18458275865842771,0.7345098419498939,0.8342012306564787,5.441376343629264e-05,0.588247642449666,0.8395364735596099,0.5635405246823951,0.05034835452877922
AT,0.8290930293141926,0.12298804261439394,0.9332502631975753,0.5947442634768342,0.30761556818252767,0.3582666209056292,0.07531381278755367,0.8828419351247375,0.033908193544809374,4.334685779801937e-05,0.1556914400751947,0.35832852728876596,0.9253289893290452,4.422946154426614e-05,0.19076107243859625,0.9000329233245423,0.28660786001891636,0.1267382537448869
VO,0.757030204908691,0.1575637215090115,0.9293407068817326,0.6892799953364415,0.31111254198037475,0.3658062320086012,0.16802066743806482,0.6908937421214684,0.18098691353837265,0.0067273706529852925,0.5375770846528215,0.5384652050589712,0.8112017170164173,0.0013285895360650717,0.4867780078008187,0.5454441566962049,0.3477312197703466,0.3941380120549392
