,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.014930046877605749,0.9578941933133039,0.8471754750898055,0.8081032673332597,0.8821450897842962,0.7440662970298731,0.29432924764658513,0.9980202300733515,0.6620197245497013,0.004145869537411993,0.41125171085067086,0.4454477725197473,0.9176364131164444,0.05664937216465566,0.0792848852352695,0.8946300199346535,0.800099962751398,0.27899636423303165
CEc,0.07942439800636003,0.9145206240618349,0.7933205915058905,0.6780845916027103,0.9013595408704611,0.8967947048482474,0.35576436821168045,0.9966296983486311,0.4667376550242488,0.0010514983759326443,0.4081799157175774,0.7239342736244097,0.8643212878936141,0.01404399656822311,0.5400767832538169,0.9147051317412204,0.7908328639966059,0.3383419091633689
CEe,0.1853468379798689,0.9663443655498418,0.9419670316233694,0.786538643083068,0.8615172807866519,0.7023671116497984,0.22943388466072517,0.9992459410754072,0.42070356414760135,2.896986599228216e-06,0.26862600182832785,0.5719001132449524,0.9956044620526906,0.0002971495895098242,0.304210174830207,0.8863601364361822,0.5762804387868128,0.3343090066358576
CL,0.20699132892474958,0.9871378225241322,0.967920657303331,0.9550109138430661,0.9920840669193001,0.9838637506910349,0.36987850946296497,0.9985652438507333,0.7969293736378573,0.00010275939020086322,0.07725330504120441,0.17623823921122245,0.9817010266149696,0.008717045854397776,0.12710863288651253,0.9169354345407255,0.6186882982016657,0.7055150902028711
MCr,0.45301313377202845,0.9751760189441101,0.9588074897878633,0.8782046399481551,0.9644410716668846,0.9611688273090209,0.47210199043329304,0.999028842487973,0.583780112771369,1.7431325440781006e-05,0.5870612387496726,0.46485056962466975,0.9958832968366604,0.0014847810208602926,0.21295784921732108,0.9973179687294081,0.8105798955422059,0.5059330591277266
MCt,0.48082898010139935,0.9965362310311159,0.9911244331877457,0.9293399390806197,0.9943611131275903,0.988934647698697,0.6263017224722245,0.9999709392605902,0.8063187966707894,3.1364595103313084e-05,0.723331439427626,0.6666053413290336,0.9951206658280323,0.000133450287300828,0.49566651668286293,0.960980075841124,0.9220957406796937,0.7154090623548652
MCu,0.06000282311912376,0.94366029919112,0.8864895247429794,0.9667277254680038,0.9597045105628661,0.9902448827147005,0.6120521039540288,0.9999253646199854,0.8308221088239733,0.0038441103350442436,0.16869097328002547,0.3342580244779829,0.8822377101776703,0.002204237040163275,0.09582076085501229,0.9550478570560686,0.7605278513962438,0.8006790760259999
MS,0.0877650180118269,0.9782971392473773,0.941754955126691,0.9252945471335153,0.9768032718792142,0.9829568385130258,0.4904323472379075,0.9998696011141645,0.7111601855703754,0.004682353706306107,0.6191188739336424,0.4564856956456873,0.949500423568633,0.005318867457813015,0.15348032505207537,0.8708872368106984,0.6581480969691441,0.7889206939550442
QLl,0.05138380013218913,0.976302518489613,0.9402678305637475,0.9643697408976852,0.9816389017131903,0.952803019265085,0.3697613819789247,0.9990863284839184,0.8561569715724267,4.8800166412703015e-05,0.1553651820747996,0.3544532784031338,0.9908403582874994,0.001407113627748217,0.0762995646498851,0.9218694235469298,0.7936317128616845,0.9628942744528239
QLq,0.1985907245260961,0.8823329758433446,0.5033262719769793,0.8003941177427949,0.9454501605783439,0.8835914753311875,0.1361385840846558,0.9962499102397739,0.2231928432577377,0.001046734603701327,0.22734535116549354,0.17799058769516657,0.976394294568983,0.002505425749198007,0.24249001196505565,0.9104978130034891,0.40666835978095794,0.2177059594136203
SNs,0.13465778780557303,0.990616411271006,0.9902671413857866,0.992260968406063,0.9802216318971603,0.9736453189585287,0.2986674417032885,0.9977851464407566,0.9548522969648343,0.06795583119687847,0.09370308986279174,0.14225876590192965,0.7574598609794646,0.10207443857913423,0.04270367689623186,0.884696609659589,0.49287775647127,0.6870347090178112
KNa,0.11399544554126884,0.973357218360861,0.9540115640952758,0.7622896134774533,0.9620709981491322,0.9706453577134789,0.2537857773352486,0.9986236369406849,0.4174201875429872,0.00017527084671788452,0.12022286228702217,0.08635824542139081,0.973871082850935,0.012702104447900184,0.11211492896037656,0.8844397492685534,0.8522182162825321,0.40846503175080107
