,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.7584349889042483,0.8146574080802917,0.5817164420019749,0.7065014463043193,0.9070522957950149,0.23288884106698593,0.0897852317171407,0.8934579801657894,0.13545546369771588,0.027399417597253412,0.1336871559744452,0.07631588413203097,0.5113904189749712,0.12817024508220753,0.06255064638868181,0.8769977752283207,0.17378288210299175,0.2738766581658968
CEc,0.625690916773779,0.7671883731793723,0.904729991723574,0.7163083254150722,0.8337467599824727,0.43925837855279026,0.11783990820814877,0.8626560464087747,0.4208913780146806,0.02115465414437756,0.7864721582257532,0.12332270021280411,0.3639770871629947,0.09304735840735318,0.24004086852785173,0.6704771064827303,0.3159018463870589,0.6586159792688653
CEe,0.8089298729530403,0.8153673376850181,0.996486496426083,0.6984003530074172,0.9060120256734644,0.536934735222009,0.1694794233903552,0.9988049290108527,0.39009046907075606,8.932122920966158e-05,0.6925645269881622,0.19469269429188535,0.9105066182933936,0.00171835571191735,0.1912260496464372,0.6742815234920317,0.753569488314227,0.7663147209884414
CL,0.7561408259254061,0.5055166642483674,0.4773260333449263,0.2977020282158057,0.49671843419969985,0.048373710041389024,0.01454463135186055,0.9568887865704427,0.014131042016318962,0.01710596504838852,0.4340718911466869,0.05954349263679406,0.8435220543704887,0.02236305835156827,0.08600144024331585,0.8433363585847966,0.3074143488677244,0.14840834850763812
MCr,0.9343702047805978,0.4708520024596484,0.4000616175625909,0.38268355054657427,0.8281211318830988,0.21586434213810524,0.15312221837966894,0.5102018608463161,0.3118105846492094,0.040736138989388854,0.7034623230764003,0.6463731696314436,0.2853713923904083,0.0710600459709554,0.49446314808227887,0.604696581426018,0.2040827434903159,0.615817402890714
MCt,0.6852557779106481,0.9259207308289055,0.9361453726928093,0.9229891134095897,0.9727549158558063,0.7891704332519552,0.6192782560664467,0.9966203391874104,0.3704067509299742,0.0006417007523044987,0.5898606963878753,0.15433510271451423,0.5203336803361979,0.010447279330426816,0.4112653867207597,0.9679944024529061,0.36233523247367894,0.7268007753877763
MCu,0.8378858305739418,0.9479753706354498,0.8134086199459722,0.8685654131426366,0.9964044409880566,0.8168072359108391,0.72791712383108,0.9940351090599789,0.3072127898658754,1.8025171201979274e-05,0.2702890162466939,0.24601882484816545,0.8928041323736375,0.0031457600973947807,0.3019794574040756,0.9916927040776057,0.35323960893312734,0.8604518501274918
MS,0.6302882579796946,0.6204309427543397,0.6282001190203843,0.4810165782221071,0.7304887148618601,0.348176701062093,0.09688941302847026,0.8125056154787866,0.21196654289598899,0.12291022198859708,0.5641270033274363,0.04609779368568965,0.29023342939293056,0.11251214487196204,0.5862521618060864,0.21087725128972867,0.13270869474105823,0.4299421802956292
QLl,0.5376979676071545,0.38910373796438935,0.8790415043104637,0.4275188611168033,0.5799308047629484,0.33618104759560774,0.0850360425727743,0.9976886025453416,0.3491635287586431,0.0057875039052931055,0.745336893339402,0.19824521755778673,0.7389593100616445,0.03254525350021679,0.24404635352806925,0.43526131948109015,0.23596739314370996,0.7343540178341541
QLq,0.9962188678148577,0.9837620517427222,0.8635786667211569,0.8998103280487406,0.99124428623952,0.8553544826466097,0.4585011403076853,0.9980561801894566,0.5620103894400026,0.0001760169889501232,0.26680852200473204,0.6843901737651601,0.6350978193216612,0.008120557823896379,0.0805371162754861,0.9781562520415299,0.48210158725254737,0.7129561045695842
SNs,0.8756090537315129,0.5054712858849989,0.4960295538538623,0.14771653963505882,0.9004971554128003,0.17797486621813946,0.05623307519825951,0.8801157575182849,0.0231505401358894,0.005768391033875879,0.459018429566072,0.144900994905526,0.9575292476127295,0.01091746478605116,0.16095474540240523,0.8492849914097061,0.08877204647108616,0.14989981677015735
KNa,0.8250197685818008,0.8674432744290015,0.6520031192474895,0.9006128894560859,0.9517533503785071,0.5652105427672884,0.37792209879346844,0.964327496345937,0.3452888276253294,0.010320266812832981,0.5371729740788378,0.12500594743154775,0.42097123422279215,0.09417098537495977,0.2665213126084592,0.6199949300996714,0.2904737895426957,0.5041978826590222
KNc,0.8329887015722657,0.9035593321028168,0.6897080052955156,0.6238199859588307,0.8847679685748187,0.48769671052427355,0.04811662111639207,0.930710683901732,0.1620571515156985,0.0015303334836913956,0.4959432314516949,0.2804259820902112,0.6543019344515917,0.007722079487461389,0.07808341803284816,0.6785347185672517,0.15296151940288072,0.6165101731917082
KNf,0.9457485820252848,0.5109428695560592,0.9253118455821262,0.46109041726078237,0.7113437067813784,0.2757372348898385,0.07886191384202612,0.997195172450315,0.10259896809621294,0.0024354478873619963,0.6736754251205088,0.6504287852484907,0.7787659109495484,0.010905125644065318,0.1489037379037722,0.8655973903287945,0.2175199051298246,0.5842140777185807
KNn,0.8548127310996407,0.9922407412906946,0.814158181108352,0.9663170383761139,0.9802974793008333,0.8124948174780843,0.4648858717265752,0.9998726803795129,0.5845591721518446,0.000427842105870721,0.559510168340559,0.30093502540736095,0.8794936913873468,0.022198671722114635,0.020094773877715855,0.9921080216494667,0.6576542622212619,0.9158510476820494
KNs,0.87236655522905,0.6828665316227458,0.7632282023482371,0.4980965918347014,0.8057959492721948,0.17461084033373564,0.5489217400737996,0.9112663653736945,0.20578510139466744,0.017930410187998146,0.7778577740119237,0.5266712288592329,0.2108646133546776,0.07382861390748605,0.7711633574912362,0.8219847901529118,0.28401797979890636,0.48955396325232564
AT,0.5874391985358495,0.5955650878606862,0.8444539089197005,0.5331958253122842,0.332601045514839,0.17017277618411308,0.0013465365111582468,0.8975082226206993,0.1813555580867096,0.1090181855103583,0.764375610278677,0.008052195302102789,0.2945975468838386,0.1925691018445193,0.045411005806944696,0.6941180942475207,0.07434353364432765,0.5345155207070271
VO,0.904623565833184,0.2562628599965666,0.944994887828588,0.22055622046773876,0.7139950610849772,0.20455575274376203,0.01099008599005222,0.9490426776987597,0.018153526712293266,0.0004641900563791597,0.6645497069694116,0.08559426982777069,0.6046510659361125,0.0264710059393464,0.12163031735350177,0.5883367590745647,0.14486295454032788,0.44294985336969644
