,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.9715949893080424,0.9738169962697412,0.9995828964402599,0.6905467233044238,0.9926658943901372,0.7564705902678877,0.350933552395023,0.9999821098254238,0.42168241062334805,6.256433246893206e-10,0.2742949356893975,0.2954261642161649,0.9975658800087976,0.0001528429387911871,0.13800654870501783,0.9996939465112561,0.9205318667720701,0.7646552526012005
CEc,0.9851132481856325,0.9102186067506144,0.9986884633081192,0.6699727692547767,0.9828595878244503,0.7206006555530766,0.44775144917107484,0.9995953123068818,0.21312289828065883,1.982046402789527e-10,0.21089456161403214,0.36239299918163115,0.9993954524039881,1.0131593037175125e-06,0.09374523985708866,0.9986565229154307,0.654428688144452,0.5677860486092894
CEe,0.9999781833669178,0.9990311702059351,0.9995213907348948,0.8449419248849535,0.9999430301966481,0.6597217714670424,0.9503155179386189,0.9999990344325471,0.11479874643956,2.3005304936859618e-21,0.08379535935966897,0.9825007010260028,0.9999753779555817,6.108065813420969e-10,0.43946884360270555,0.9999957886838154,0.934443875943772,0.3139282659794005
CL,0.9931184857391133,0.9809645247394698,0.9929781664519011,0.5968228990261,0.99527802591608,0.7758347116247313,0.47569761074638717,0.9999528044344279,0.43688581188131026,6.34824882699222e-11,0.0766603509932999,0.47571289906050834,0.9966477055661469,3.962303439941215e-06,0.13982460757429915,0.9999977501243411,0.7615399294327356,0.7975053808821457
MCr,0.9999655388065651,0.9997156671020775,0.9999959552219359,0.9717153237771392,0.9999928035173177,0.9655586607449823,0.9497064354705734,0.9999989944144306,0.48874345507074707,2.0226829728475168e-16,0.06962730998279565,0.8537122726825316,0.9999981360018649,7.213403642381405e-08,0.02682972646187216,0.9999999747830308,0.8288594181266473,0.8728738532812759
MCt,0.9972482197652968,0.9909913605936026,0.9997088863212186,0.9686113533736731,0.9996404611249209,0.9433538819083781,0.7303930994494799,0.9999957627355094,0.6947909972585318,3.607518147709981e-08,0.0291592773503362,0.5934567463531274,0.980221727799977,7.313697375204502e-05,0.16145483737559357,0.9998824780685663,0.7645632398706934,0.9804543769663912
MCu,0.970596111047328,0.9197064838007938,0.9959682777774516,0.7944154607565355,0.92637116676748,0.7605362152434064,0.26086683899548246,0.9977948459273384,0.5339343084006171,8.724338171419119e-06,0.02891745370734943,0.6411853530750573,0.48279250041146077,0.004231766398939729,0.7956749501451825,0.9793206893288176,0.3060218571824562,0.8070213356658518
MS,0.9366844360396731,0.9623278815383136,0.999012503130023,0.865558528168131,0.9800079110882435,0.9369003679700274,0.4389756543935043,0.992985788766847,0.655255277397027,0.0005887054541605679,0.03680167551983623,0.3045181977545529,0.9408488375942701,0.019599648609677525,0.28291742451717117,0.9989694709693427,0.5228346521013453,0.9593466548067682
QLl,0.9999586079654246,0.999626014957794,0.9999494402522411,0.9812708373450305,0.999996705702861,0.9455613881527974,0.8689103293602947,0.999999995068562,0.19978729955668523,1.1992645015841148e-17,0.03821971745530303,0.8769259807100602,0.9999999920674615,2.7101661645007312e-11,0.037001762318325394,0.9999999981011555,0.955086321380661,0.8536408200334197
QLq,0.9999991284709652,0.997304785000313,0.9989773909790103,0.9499802439242478,0.999999753566951,0.9551374339472325,0.8138395160385947,0.9999966447557839,0.41594311249551197,1.0827115400035585e-24,0.03972657694501271,0.6678947357266618,0.999998981568945,3.384410704181644e-12,0.34126877550249735,0.9999998936407151,0.9236677514941928,0.37541256868558104
SNs,0.4805644826786111,0.6933664659319954,0.9974511213516719,0.1976747653468181,0.8573811152917883,0.5268091585899607,0.038597122646320224,0.9961548695600163,0.21322035318270655,3.80776822274208e-06,0.08727291194028569,0.04787169425211129,0.9962460632923981,0.0023309295622854866,0.05844803517870973,0.9942379337318556,0.11055637945278646,0.6012907762137601
