,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.9462697257741269,0.9884838710101859,0.9999905840225489,0.8972278208216862,0.9961980482273501,0.8322178961062943,0.15420742876473476,0.9999996160897147,0.42847169827118153,2.032540221770273e-11,0.04516562386644432,0.0888134099874906,0.9999735392923301,0.00017140618782999286,0.08520886036611147,0.9753629863588822,0.9013711540701665,0.9253357550572027
CEc,0.8007620666366003,0.9653315590453428,0.9999997407915884,0.762715812243282,0.9773559421731761,0.8458937595978099,0.46734319298607496,0.9999987452355601,0.13635244162178645,4.0788115570050934e-14,0.05694333094641462,0.20460752918453273,0.999963313334097,8.239743915097128e-07,0.26773404463778505,0.9999027888393466,0.8378574274504345,0.7541059063442278
CEe,0.987819528460128,0.9992486339835743,0.9999998592724978,0.957105044207791,0.9993976315511799,0.7844855898096903,0.43138081720303234,0.9999999999997932,0.48836543334616195,9.978372609479326e-22,0.007074815136630009,0.044972008050936485,0.9999999999908534,1.5415204730826543e-10,0.019112018995654487,0.9998258097063021,0.9825007051062016,0.9316730332235578
CL,0.9992928749637109,0.9682824108503376,0.9999934456569436,0.568312610606624,0.9910125230406029,0.6977776362408755,0.20450267644572084,0.9999998071375962,0.039118625370428525,2.6854783129461798e-18,0.0028375075327738944,0.17693617798439093,0.9999734753954519,9.604585041033711e-09,0.37114348734663355,0.9985309265362148,0.492999966845594,0.4354124565401409
MCr,0.99966186094476,0.9967734299182464,0.9994590466598712,0.9610889107413249,0.9999524644099025,0.9337843656612416,0.8241064728351464,0.9999999230215411,0.4843453871535842,3.299280926455528e-18,0.02181763380550478,0.7739609423653648,0.9999999968619748,2.1993992136213173e-10,0.15163041389064613,0.9999971472406498,0.9175975156372856,0.9693421272583183
MCt,0.9945853282825512,0.9998242016036469,0.9999996749189437,0.9895724689782243,0.9999445648479164,0.9934311784047537,0.7386749120761074,0.9999999985591471,0.6177774224777542,1.117745180572736e-12,0.1262915772507513,0.7675627664793225,0.9999515198084187,1.5873904367130527e-07,0.4070391201785895,0.9999586805970351,0.9229569144352748,0.9964686347150034
MCu,0.968033711351818,0.9254036280974367,0.9996896932916746,0.887729105841513,0.9835625960272925,0.782895187792646,0.6643018135900124,0.9999973304206161,0.2937561108340603,1.5960650214774524e-12,0.039499372074138936,0.6890810587621,0.9897455313332287,1.434445919035148e-06,0.8392446707484391,0.9742327376397683,0.46776516416092195,0.7947078425052898
MS,0.8975540692384689,0.9805981316591988,0.9999575041849448,0.9253712597092949,0.9941470017928706,0.937298885476771,0.4122062523631801,0.9999998743632366,0.46976166665659996,3.705770746798337e-09,0.19719158743966675,0.08792845776815844,0.9993517238545337,9.135735643632604e-07,0.2867115310013162,0.9951156636042208,0.32269183504426247,0.9589886275347687
QLl,0.7955987696617269,0.9986280777288479,0.9999997646729596,0.9988276865163871,0.9999578643958462,0.9978212519767898,0.30427705780300246,0.9999999999999954,0.9642915822666974,4.315102522194467e-15,0.05217534982329204,0.05211871282527769,0.9999999999868485,5.534389849140971e-07,0.012834078131632488,0.9885532411710911,0.9994953463710028,0.9999893845991287
QLq,0.9996740809108294,0.9992174965226804,0.999872880301267,0.9630138634899216,0.9998888239141905,0.9476129202622936,0.36416875096313356,0.9999999628920907,0.21911588983483699,1.4100175206913402e-21,0.00015612771634872471,0.2617923177089869,0.9999999697106445,5.440382797531049e-10,0.07606974802928128,0.9994589009319309,0.8977044311021711,0.6423231386402628
