,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.9168141557643336,0.5984701181965221,0.9459614984108713,0.07452075437573036,0.5790520715176035,0.502387467155041,0.6854466604153855,0.8313596751627337,0.29927718138935505,0.3888617738952944,0.12306862638983501,0.6189916800797876,0.4952597404166479,0.5030397851806367,0.6057298234701214,0.5186440895213654,0.30670361432587107,0.742142920403523
CEc,0.328918103015305,0.18197385229439728,0.941261487644418,0.015124330015766508,0.09437252729135148,0.08014943806616115,0.16120997526853525,0.09547587721007678,0.19638938098987874,0.5476055145444518,0.1345722406070065,0.25378235105391456,0.12668131310535036,0.6390366475188891,0.5358223193795728,0.17438582150085458,0.31266322264116475,0.3589311441126708
CEe,0.8746444617581999,0.69407969369284,0.9533124250526858,0.1468093314082548,0.7926510126338158,0.2764213068220054,0.6124481361037424,0.5027300102219172,0.2948568974328864,0.09184561530275775,0.26892561211671556,0.05055261257909853,0.6875493821689734,0.10451551178982632,0.21422602017332065,0.6612236424887048,0.6603322879978557,0.6125928729103517
CL,0.6929891005319067,0.3831470604121726,0.9928049930225132,0.06096153893716433,0.6561741010076675,0.3177460756919145,0.4308680975481529,0.8834017541566043,0.6065000034832668,0.3088526783728142,0.04372143257789211,0.18499490970437665,0.1864650203494534,0.0892255281278353,0.9112236975427055,0.08715109019943929,0.4335840538293665,0.6236776386157333
MCr,0.7161231836164579,0.25716864649213056,0.7290724097910064,0.05887731910481133,0.452608944300385,0.22989559563677792,0.6458026515143087,0.37388141590274293,0.3274858130304382,0.2745801507408917,0.06378319770110373,0.2947510573524833,0.6482866291802276,0.2816482734446716,0.09420605225490475,0.3904676248435477,0.34365213995278926,0.502837057738691
MCt,0.22581485862595674,0.1230159616685349,0.7723630099245729,0.03125834510559753,0.18231153797433086,0.22551266639017925,0.3050884257099782,0.4064069706678386,0.3977901807626821,0.42459690479593476,0.20853493568878856,0.3148003288172524,0.0191405513049345,0.32388565691836213,0.6538367747585678,0.0708152574516708,0.5090270478530827,0.7278848895121842
MCu,0.5494742526705202,0.18326396796984068,0.7530074086436609,0.08946708813981374,0.2442967219154048,0.19425118091606974,0.502628574685482,0.5088726487028453,0.3281578648470964,0.3526332660718664,0.02782365949162188,0.3576099827030058,0.12289015960161559,0.32356169196231604,0.9287083285737734,0.10960670481861373,0.2944218769550435,0.5587595158633726
MS,0.36594040487045354,0.23544654541775017,0.9436809860036371,0.12947896260618152,0.5991910045861532,0.1704928467868963,0.25028966231302296,0.6218472871200632,0.5313752196232842,0.612560509244173,0.00804815921279161,0.05333494948001909,0.04262407866292288,0.14117263335202962,0.29607659462142666,0.3438887068858585,0.3449690073568191,0.7214689188867623
QLl,0.4011885999827406,0.463798760662316,0.9615454650742327,0.25450667102786323,0.5209917361694126,0.5337011942817437,0.3805496964545003,0.8861690311865825,0.49789423644313413,0.48002013935612375,0.4740050832206284,0.1874299696520093,0.8057390176073382,0.41287391623321523,0.24020248238229536,0.17944395367691957,0.6272435425636064,0.7875072685473199
QLq,0.9948836549312517,0.5972025634175184,0.9929930675083861,0.561938615033911,0.841341493603326,0.7332200781217124,0.7586296844572323,0.548391190585394,0.7416280962308447,0.10984742433335648,0.09523154357298341,0.127819477747594,0.6560385145378034,0.13098712932106021,0.5836552205068932,0.1694313081119277,0.8834190359874532,0.7877000759668549
SNs,0.9672829302921736,0.5128438471572903,0.9928466539766041,0.11925732837330166,0.6050114103685351,0.15315315671353297,0.5108249612965751,0.8542609051066619,0.29818329245239983,0.20348601174721398,0.028973217587298126,0.1429607201903439,0.6207267026958645,0.14762974391462758,0.6296316310627607,0.39209630035687887,0.5478909032038013,0.4156418754955789
KNa,0.8722171445359597,0.8241675497980896,0.8043648635281069,0.2165460234408062,0.7842335102578132,0.731705274949975,0.505708097159058,0.5950790180136919,0.8842436141771254,0.6686041656211417,0.08778034562725512,0.07519502767097175,0.6065291027470315,0.44109429793899213,0.8656945338710038,0.06795073644154687,0.5831984476745443,0.7911147784887391
KNc,0.5679799983800491,0.2928597573984216,0.9934056335393301,0.011161180786978003,0.21845293154757806,0.2224972448446662,0.38261318575977704,0.38466276893320916,0.3337103955355045,0.6229944576590832,0.3134072476117258,0.21809731800564391,0.13212397479097387,0.6767077774846246,0.8962730884708265,0.13692727031101948,0.2981699885971347,0.47079862122937904
KNf,0.8189354505205184,0.7437863853805469,0.9615454650742327,0.35405868604268675,0.7885749380909957,0.5954738609491447,0.48723445540279264,0.47064006509639145,0.8538384411427367,0.3396750773179399,0.26995990909693834,0.16632345405703247,0.7550204309949353,0.26511452168095495,0.7238217709819097,0.21547218218097774,0.7045153485665459,0.8042635403684513
KNn,0.9666065983653715,0.7775694105135291,0.8043648635281069,0.24935932313203896,0.40733025865726236,0.39659413586479175,0.6338150439063324,0.4922926553592679,0.450418963445722,0.18632032382680253,0.22159054783961485,0.27189365865366405,0.6348204235765987,0.2626057677160798,0.8773941802761518,0.013603726182354071,0.6560976712603508,0.34349847854915305
KNs,0.6453762527383378,0.21807638710904204,0.5223889945519615,0.011475839344746386,0.1624780372561408,0.08844793749640284,0.22798454280219393,0.45568957108579555,0.14727248500778334,0.423179586244726,0.02487968382051369,0.13641096671756697,0.20696047430559122,0.5417262807989257,0.7055124885271981,0.09808754051646568,0.383463782839663,0.14764117194764365
AT,0.7228491017090576,0.22428135231060126,0.9441129493481994,0.024826040079184646,0.7182104710881774,0.35857902103731,0.3752297992074321,0.6976152341179431,0.41948225776894826,0.2068248230165296,0.0037186653669156263,0.22513280531755675,0.7772273472465809,0.0611826620556699,0.6392030874203869,0.2701760797489805,0.26131093872934164,0.3778302599874458
VO,0.5852997817047427,0.43118441108472,0.9503600020748978,0.06063680990039227,0.556595967121394,0.3552917834148689,0.3247198583201857,0.8700561991631294,0.27530252621017126,0.1648686789282689,0.015835456543901647,0.38547309923426976,0.8235474260042718,0.0650930249502338,0.7839312934858101,0.2543540215044904,0.4197956851375525,0.34191175670972546
