discouraged_ability,alpha,test_ability,score,baseline,delta_pct
AS,-3.0,AS,138.0,229.0,-39.737991266375545
AS,-3.0,CEc,224.0,316.0,-29.11392405063291
AS,-3.0,CEe,21.0,30.0,-30.0
AS,-3.0,CL,184.0,252.0,-26.984126984126984
AS,-3.0,MCr,129.0,193.0,-33.160621761658035
AS,-3.0,MCt,265.0,376.0,-29.521276595744684
AS,-3.0,MCu,292.0,426.0,-31.455399061032864
AS,-3.0,MS,68.0,86.0,-20.930232558139537
AS,-3.0,QLl,186.0,236.0,-21.1864406779661
AS,-3.0,QLq,86.0,117.0,-26.495726495726498
AS,-3.0,SNs,0.0,0.0,0.0
AS,-3.0,KNa,360.0,517.0,-30.36750483558994
AS,-3.0,KNc,244.0,317.0,-23.02839116719243
AS,-3.0,KNf,207.0,266.0,-22.18045112781955
AS,-3.0,KNn,179.0,274.0,-34.67153284671533
AS,-3.0,KNs,234.0,346.0,-32.369942196531795
AS,-3.0,AT,240.0,350.0,-31.428571428571427
AS,-3.0,VO,57.0,84.0,-32.142857142857146
AS,-2.0,AS,165.0,229.0,-27.947598253275107
AS,-2.0,CEc,270.0,316.0,-14.556962025316455
AS,-2.0,CEe,24.0,30.0,-20.0
AS,-2.0,CL,218.0,252.0,-13.492063492063492
AS,-2.0,MCr,171.0,193.0,-11.398963730569948
AS,-2.0,MCt,319.0,376.0,-15.159574468085108
AS,-2.0,MCu,360.0,426.0,-15.492957746478872
AS,-2.0,MS,77.0,86.0,-10.465116279069768
AS,-2.0,QLl,220.0,236.0,-6.779661016949152
AS,-2.0,QLq,102.0,117.0,-12.82051282051282
AS,-2.0,SNs,0.0,0.0,0.0
AS,-2.0,KNa,427.0,517.0,-17.408123791102515
AS,-2.0,KNc,299.0,317.0,-5.678233438485805
AS,-2.0,KNf,239.0,266.0,-10.150375939849624
AS,-2.0,KNn,201.0,274.0,-26.642335766423358
AS,-2.0,KNs,304.0,346.0,-12.138728323699421
AS,-2.0,AT,306.0,350.0,-12.571428571428573
AS,-2.0,VO,66.0,84.0,-21.428571428571427
AS,-1.5,AS,189.0,229.0,-17.46724890829694
AS,-1.5,CEc,285.0,316.0,-9.81012658227848
AS,-1.5,CEe,27.0,30.0,-10.0
AS,-1.5,CL,224.0,252.0,-11.11111111111111
AS,-1.5,MCr,177.0,193.0,-8.290155440414509
AS,-1.5,MCt,341.0,376.0,-9.308510638297872
AS,-1.5,MCu,383.0,426.0,-10.093896713615024
AS,-1.5,MS,83.0,86.0,-3.488372093023256
AS,-1.5,QLl,231.0,236.0,-2.11864406779661
AS,-1.5,QLq,113.0,117.0,-3.418803418803419
AS,-1.5,SNs,0.0,0.0,0.0
AS,-1.5,KNa,461.0,517.0,-10.831721470019342
AS,-1.5,KNc,317.0,317.0,0.0
AS,-1.5,KNf,249.0,266.0,-6.390977443609022
AS,-1.5,KNn,225.0,274.0,-17.88321167883212
AS,-1.5,KNs,330.0,346.0,-4.624277456647398
AS,-1.5,AT,324.0,350.0,-7.428571428571429
AS,-1.5,VO,69.0,84.0,-17.857142857142858
AS,-1.0,AS,207.0,229.0,-9.606986899563319
AS,-1.0,CEc,300.0,316.0,-5.063291139240507
AS,-1.0,CEe,30.0,30.0,0.0
AS,-1.0,CL,243.0,252.0,-3.571428571428571
AS,-1.0,MCr,186.0,193.0,-3.6269430051813467
AS,-1.0,MCt,364.0,376.0,-3.1914893617021276
AS,-1.0,MCu,399.0,426.0,-6.338028169014084
AS,-1.0,MS,86.0,86.0,0.0
AS,-1.0,QLl,237.0,236.0,0.423728813559322
AS,-1.0,QLq,111.0,117.0,-5.128205128205128
AS,-1.0,SNs,0.0,0.0,0.0
AS,-1.0,KNa,477.0,517.0,-7.7369439071566735
AS,-1.0,KNc,307.0,317.0,-3.1545741324921135
AS,-1.0,KNf,251.0,266.0,-5.639097744360902
AS,-1.0,KNn,240.0,274.0,-12.408759124087592
AS,-1.0,KNs,337.0,346.0,-2.601156069364162
AS,-1.0,AT,336.0,350.0,-4.0
AS,-1.0,VO,72.0,84.0,-14.285714285714285
AS,0.0,AS,229.0,229.0,0.0
AS,0.0,CEc,316.0,316.0,0.0
AS,0.0,CEe,30.0,30.0,0.0
AS,0.0,CL,252.0,252.0,0.0
AS,0.0,MCr,193.0,193.0,0.0
AS,0.0,MCt,376.0,376.0,0.0
AS,0.0,MCu,426.0,426.0,0.0
AS,0.0,MS,86.0,86.0,0.0
AS,0.0,QLl,236.0,236.0,0.0
AS,0.0,QLq,117.0,117.0,0.0
AS,0.0,SNs,0.0,0.0,0.0
AS,0.0,KNa,517.0,517.0,0.0
AS,0.0,KNc,317.0,317.0,0.0
AS,0.0,KNf,266.0,266.0,0.0
AS,0.0,KNn,274.0,274.0,0.0
AS,0.0,KNs,346.0,346.0,0.0
AS,0.0,AT,350.0,350.0,0.0
AS,0.0,VO,84.0,84.0,0.0
AS,0.5,AS,228.0,229.0,-0.43668122270742354
AS,0.5,CEc,319.0,316.0,0.949367088607595
AS,0.5,CEe,30.0,30.0,0.0
AS,0.5,CL,254.0,252.0,0.7936507936507936
AS,0.5,MCr,199.0,193.0,3.1088082901554404
AS,0.5,MCt,376.0,376.0,0.0
AS,0.5,MCu,429.0,426.0,0.7042253521126761
AS,0.5,MS,86.0,86.0,0.0
AS,0.5,QLl,239.0,236.0,1.2711864406779663
AS,0.5,QLq,107.0,117.0,-8.547008547008547
AS,0.5,SNs,0.0,0.0,0.0
AS,0.5,KNa,514.0,517.0,-0.5802707930367506
AS,0.5,KNc,320.0,317.0,0.9463722397476341
AS,0.5,KNf,259.0,266.0,-2.631578947368421
AS,0.5,KNn,266.0,274.0,-2.9197080291970803
AS,0.5,KNs,351.0,346.0,1.4450867052023122
AS,0.5,AT,350.0,350.0,0.0
AS,0.5,VO,81.0,84.0,-3.571428571428571
AT,-3.0,AS,174.0,229.0,-24.017467248908297
AT,-3.0,CEc,260.0,316.0,-17.72151898734177
AT,-3.0,CEe,30.0,30.0,0.0
AT,-3.0,CL,217.0,252.0,-13.88888888888889
AT,-3.0,MCr,168.0,193.0,-12.953367875647666
AT,-3.0,MCt,314.0,376.0,-16.48936170212766
AT,-3.0,MCu,346.0,426.0,-18.779342723004692
AT,-3.0,MS,80.0,86.0,-6.976744186046512
AT,-3.0,QLl,215.0,236.0,-8.898305084745763
AT,-3.0,QLq,89.0,117.0,-23.931623931623932
AT,-3.0,SNs,0.0,0.0,0.0
AT,-3.0,KNa,394.0,517.0,-23.791102514506772
AT,-3.0,KNc,276.0,317.0,-12.933753943217665
AT,-3.0,KNf,207.0,266.0,-22.18045112781955
AT,-3.0,KNn,196.0,274.0,-28.467153284671532
AT,-3.0,KNs,298.0,346.0,-13.872832369942195
AT,-3.0,AT,285.0,350.0,-18.571428571428573
AT,-3.0,VO,66.0,84.0,-21.428571428571427
AT,-2.0,AS,199.0,229.0,-13.100436681222707
