discouraged_ability,alpha,test_ability,score,baseline,delta_pct
AS,-3.0,AS,33.0,28.0,17.857142857142858
AS,-3.0,CEc,83.0,83.0,0.0
AS,-3.0,CEe,3.0,3.0,0.0
AS,-3.0,CL,35.0,43.0,-18.6046511627907
AS,-3.0,MCr,21.0,29.0,-27.586206896551722
AS,-3.0,MCt,116.0,138.0,-15.942028985507244
AS,-3.0,MCu,80.0,88.0,-9.090909090909092
AS,-3.0,MS,20.0,20.0,0.0
AS,-3.0,QLl,52.0,55.0,-5.454545454545454
AS,-3.0,QLq,52.0,61.0,-14.754098360655737
AS,-3.0,SNs,0.0,0.0,0.0
AS,-3.0,KNa,319.0,464.0,-31.25
AS,-3.0,KNc,193.0,239.0,-19.246861924686193
AS,-3.0,KNf,177.0,233.0,-24.034334763948497
AS,-3.0,KNn,127.0,195.0,-34.87179487179487
AS,-3.0,KNs,185.0,266.0,-30.451127819548873
AS,-3.0,AT,85.0,99.0,-14.14141414141414
AS,-3.0,VO,22.0,18.0,22.22222222222222
AS,-2.0,AS,31.0,28.0,10.714285714285714
AS,-2.0,CEc,87.0,83.0,4.819277108433735
AS,-2.0,CEe,3.0,3.0,0.0
AS,-2.0,CL,33.0,43.0,-23.25581395348837
AS,-2.0,MCr,28.0,29.0,-3.4482758620689653
AS,-2.0,MCt,127.0,138.0,-7.971014492753622
AS,-2.0,MCu,100.0,88.0,13.636363636363635
AS,-2.0,MS,20.0,20.0,0.0
AS,-2.0,QLl,63.0,55.0,14.545454545454545
AS,-2.0,QLq,57.0,61.0,-6.557377049180328
AS,-2.0,SNs,0.0,0.0,0.0
AS,-2.0,KNa,380.0,464.0,-18.103448275862068
AS,-2.0,KNc,232.0,239.0,-2.928870292887029
AS,-2.0,KNf,208.0,233.0,-10.72961373390558
AS,-2.0,KNn,142.0,195.0,-27.17948717948718
AS,-2.0,KNs,240.0,266.0,-9.774436090225564
AS,-2.0,AT,116.0,99.0,17.17171717171717
AS,-2.0,VO,22.0,18.0,22.22222222222222
AS,-1.5,AS,31.0,28.0,10.714285714285714
AS,-1.5,CEc,89.0,83.0,7.228915662650602
AS,-1.5,CEe,3.0,3.0,0.0
AS,-1.5,CL,33.0,43.0,-23.25581395348837
AS,-1.5,MCr,28.0,29.0,-3.4482758620689653
AS,-1.5,MCt,130.0,138.0,-5.797101449275362
AS,-1.5,MCu,95.0,88.0,7.954545454545454
AS,-1.5,MS,20.0,20.0,0.0
AS,-1.5,QLl,56.0,55.0,1.8181818181818181
AS,-1.5,QLq,68.0,61.0,11.475409836065573
AS,-1.5,SNs,0.0,0.0,0.0
AS,-1.5,KNa,408.0,464.0,-12.068965517241379
AS,-1.5,KNc,246.0,239.0,2.928870292887029
AS,-1.5,KNf,215.0,233.0,-7.725321888412018
AS,-1.5,KNn,151.0,195.0,-22.564102564102566
AS,-1.5,KNs,260.0,266.0,-2.2556390977443606
AS,-1.5,AT,116.0,99.0,17.17171717171717
AS,-1.5,VO,24.0,18.0,33.33333333333333
AS,-1.0,AS,31.0,28.0,10.714285714285714
AS,-1.0,CEc,91.0,83.0,9.63855421686747
AS,-1.0,CEe,3.0,3.0,0.0
AS,-1.0,CL,37.0,43.0,-13.953488372093023
AS,-1.0,MCr,28.0,29.0,-3.4482758620689653
AS,-1.0,MCt,138.0,138.0,0.0
AS,-1.0,MCu,90.0,88.0,2.272727272727273
AS,-1.0,MS,20.0,20.0,0.0
AS,-1.0,QLl,56.0,55.0,1.8181818181818181
AS,-1.0,QLq,68.0,61.0,11.475409836065573
AS,-1.0,SNs,0.0,0.0,0.0
AS,-1.0,KNa,419.0,464.0,-9.698275862068966
AS,-1.0,KNc,234.0,239.0,-2.092050209205021
AS,-1.0,KNf,220.0,233.0,-5.579399141630901
AS,-1.0,KNn,166.0,195.0,-14.871794871794872
AS,-1.0,KNs,267.0,266.0,0.37593984962406013
AS,-1.0,AT,109.0,99.0,10.1010101010101
AS,-1.0,VO,24.0,18.0,33.33333333333333
AS,0.0,AS,28.0,28.0,0.0
AS,0.0,CEc,83.0,83.0,0.0
AS,0.0,CEe,3.0,3.0,0.0
AS,0.0,CL,43.0,43.0,0.0
AS,0.0,MCr,29.0,29.0,0.0
AS,0.0,MCt,138.0,138.0,0.0
AS,0.0,MCu,88.0,88.0,0.0
AS,0.0,MS,20.0,20.0,0.0
AS,0.0,QLl,55.0,55.0,0.0
AS,0.0,QLq,61.0,61.0,0.0
AS,0.0,SNs,0.0,0.0,0.0
AS,0.0,KNa,464.0,464.0,0.0
AS,0.0,KNc,239.0,239.0,0.0
AS,0.0,KNf,233.0,233.0,0.0
AS,0.0,KNn,195.0,195.0,0.0
AS,0.0,KNs,266.0,266.0,0.0
AS,0.0,AT,99.0,99.0,0.0
AS,0.0,VO,18.0,18.0,0.0
AS,0.5,AS,24.0,28.0,-14.285714285714285
AS,0.5,CEc,77.0,83.0,-7.228915662650602
AS,0.5,CEe,3.0,3.0,0.0
AS,0.5,CL,39.0,43.0,-9.30232558139535
AS,0.5,MCr,25.0,29.0,-13.793103448275861
AS,0.5,MCt,134.0,138.0,-2.898550724637681
AS,0.5,MCu,84.0,88.0,-4.545454545454546
AS,0.5,MS,20.0,20.0,0.0
AS,0.5,QLl,63.0,55.0,14.545454545454545
AS,0.5,QLq,55.0,61.0,-9.836065573770492
AS,0.5,SNs,0.0,0.0,0.0
AS,0.5,KNa,461.0,464.0,-0.646551724137931
AS,0.5,KNc,242.0,239.0,1.2552301255230125
AS,0.5,KNf,215.0,233.0,-7.725321888412018
AS,0.5,KNn,187.0,195.0,-4.102564102564102
AS,0.5,KNs,271.0,266.0,1.8796992481203008
AS,0.5,AT,99.0,99.0,0.0
AS,0.5,VO,18.0,18.0,0.0
AT,-3.0,AS,29.0,28.0,3.571428571428571
AT,-3.0,CEc,85.0,83.0,2.4096385542168677
AT,-3.0,CEe,3.0,3.0,0.0
AT,-3.0,CL,37.0,43.0,-13.953488372093023
AT,-3.0,MCr,24.0,29.0,-17.24137931034483
AT,-3.0,MCt,140.0,138.0,1.4492753623188406
AT,-3.0,MCu,83.0,88.0,-5.681818181818182
AT,-3.0,MS,23.0,20.0,15.0
AT,-3.0,QLl,60.0,55.0,9.090909090909092
AT,-3.0,QLq,60.0,61.0,-1.639344262295082
AT,-3.0,SNs,0.0,0.0,0.0
AT,-3.0,KNa,350.0,464.0,-24.568965517241377
AT,-3.0,KNc,208.0,239.0,-12.97071129707113
AT,-3.0,KNf,189.0,233.0,-18.88412017167382
AT,-3.0,KNn,134.0,195.0,-31.28205128205128
AT,-3.0,KNs,229.0,266.0,-13.909774436090224
AT,-3.0,AT,97.0,99.0,-2.0202020202020203
AT,-3.0,VO,19.0,18.0,5.555555555555555
AT,-2.0,AS,36.0,28.0,28.57142857142857
AT,-2.0,CEc,91.0,83.0,9.63855421686747
AT,-2.0,CEe,3.0,3.0,0.0
AT,-2.0,CL,41.0,43.0,-4.651162790697675
AT,-2.0,MCr,28.0,29.0,-3.4482758620689653
AT,-2.0,MCt,138.0,138.0,0.0
AT,-2.0,MCu,90.0,88.0,2.272727272727273
AT,-2.0,MS,23.0,20.0,15.0
AT,-2.0,QLl,65.0,55.0,18.181818181818183
AT,-2.0,QLq,63.0,61.0,3.278688524590164
AT,-2.0,SNs,0.0,0.0,0.0
AT,-2.0,KNa,402.0,464.0,-13.36206896551724
AT,-2.0,KNc,218.0,239.0,-8.786610878661087
AT,-2.0,KNf,199.0,233.0,-14.592274678111588
AT,-2.0,KNn,158.0,195.0,-18.974358974358974
AT,-2.0,KNs,259.0,266.0,-2.631578947368421
AT,-2.0,AT,103.0,99.0,4.040404040404041
AT,-2.0,VO,22.0,18.0,22.22222222222222
AT,-1.5,AS,36.0,28.0,28.57142857142857
AT,-1.5,CEc,95.0,83.0,14.457831325301203
AT,-1.5,CEe,3.0,3.0,0.0
AT,-1.5,CL,41.0,43.0,-4.651162790697675
AT,-1.5,MCr,32.0,29.0,10.344827586206897
AT,-1.5,MCt,146.0,138.0,5.797101449275362
AT,-1.5,MCu,94.0,88.0,6.8181818181818175
AT,-1.5,MS,23.0,20.0,15.0
AT,-1.5,QLl,65.0,55.0,18.181818181818183
AT,-1.5,QLq,63.0,61.0,3.278688524590164
AT,-1.5,SNs,0.0,0.0,0.0
AT,-1.5,KNa,423.0,464.0,-8.836206896551724
AT,-1.5,KNc,225.0,239.0,-5.857740585774058
AT,-1.5,KNf,214.0,233.0,-8.15450643776824
AT,-1.5,KNn,169.0,195.0,-13.333333333333334
AT,-1.5,KNs,274.0,266.0,3.007518796992481
AT,-1.5,AT,103.0,99.0,4.040404040404041
AT,-1.5,VO,24.0,18.0,33.33333333333333
AT,-1.0,AS,36.0,28.0,28.57142857142857
AT,-1.0,CEc,93.0,83.0,12.048192771084338
AT,-1.0,CEe,3.0,3.0,0.0
